id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
707,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236,1,7.08,43.03
708,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,2,4,MSP,1995,STS-69,STS-69,STS-69,STS-69,260,0,0,43.03
709,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,3,4,MSP,1998,STS-88,STS-88,STS-88,STS-88,283,3,21.38,43.03
710,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,4,4,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,2,14.57,43.03
711,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236,0,0,11.77
712,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,2,4,MSP,1994,STS-68,STS-68,STS-68,STS-68,169,0,0,11.77
713,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,3,4,MSP,1996,STS-77,STS-77,STS-77,STS-77,241,0,0,11.77
714,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,4,4,flight engineer,2001,4,STS-108,ISS,STS-111,4802,2,11.77,11.77
715,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236.18,1,7.08,18.91
716,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,2,4,MSP,1994,STS-65,STS-65,STS-65,STS-65,360,0,0,18.91
717,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,3,4,MSP,1996,STS-79,STS-79,STS-79,STS-79,243,0,0,18.91
718,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,4,4,MSP,2001,4,STS-108,ISS,STS-111,4704,2,11.83,18.91
719,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,1,3,pilot,1993,STS-58,STS-58,STS-58,STS-58,338,0,0,0
720,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,2,3,pilot,1996,STS-76,STS-76,STS-76,STS-76,216,0,0,0
721,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,3,3,commander,1998,STS-90,STS-90,STS-90,STS-90,384,0,0,0
722,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,1,4,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,0,0,24.35
723,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,2,4,MSP,1995,STS-74,STS-74,STS-74,STS-74,196,0,0,24.35
724,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,3,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309,2,13.27,24.35
725,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,4,4,flight engineer,2006,12,Soyuz TMA-7,ISS,Soyuz TMA-7,4555,2,11.08,24.35
726,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,1,4,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,0,0,41.95
727,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,2,4,MSP,1997,24,STS-86,Mir,STS-89,3072,1,3.87,41.95
728,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,3,4,MSP,2002,STS-112,STS-112,STS-112,STS-112,259,3,19.68,41.95
729,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,4,4,MSP,2009,STS-127,STS-127,STS-127,STS-127,376,3,18.4,41.95
730,307,195,"Fettman, Martin Joseph","Fettman, Martin Joseph",male,1956,U.S.,civilian,PS for STS-58,1992,1,1,PSP,1993,STS-58,STS-58,STS-58,STS-58,336.47,0,0,0
731,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,1,4,flight engineer,1994,Mir EO-15,Soyuz TM-18,Mir,Soyuz TM-18,4368.45,0,0,31.15
732,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,2,4,flight engineer,1996,Mir EO-21,Soyuz TM-23,Mir,Soyuz TM-23,4651.12,6,30.5,31.15
733,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,3,4,MSP,2000,STS 101,STS 101,Spacehub,STS 101,236.17,0,0,31.15
734,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,4,4,commander,2001,2,STS 102,ISS,STS 102,4014.68,1,0.65,31.15
735,309,196,"Sega, Ronald M.","Sega, Ronald M.",male,1952,U.S.,civilian,1990 NASA group 13,1990,1,2,MSP,1994,STS-60,STS-60,STS-60,STS-60,199,0,0,0
736,309,196,"Sega, Ronald M.","Sega, Ronald M.",male,1952,U.S.,civilian,1990 NASA group 13,1990,2,2,MSP,1996,STS-76,STS-76,STS-76,STS-76,221,0,0,0
737,310,197,"Jones, Thomas D.","Jones, Thomas D.",male,1955,U.S.,civilian,NASA- 13,1990,1,4,MSP,1994,STS-59,STS-59,STS-59,STS-59,269,0,0,19.82
738,310,197,"Jones, Thomas D.","Jones, Thomas D.",male,1955,U.S.,civilian,NASA- 14,1990,2,4,MSP,1994,STS-68,STS-68,STS-68,STS-68,269,0,0,19.82
739,310,197,"Jones, Thomas D.","Jones, Thomas D.",male,1955,U.S.,civilian,NASA- 14,1990,3,4,MSP,1996,STS-80,STS-80,STS-80,STS-80,423,0,0,19.82
740,310,197,"Jones, Thomas D.","Jones, Thomas D.",male,1955,U.S.,civilian,NASA- 14,1990,4,4,MSP,2001,STS-98,STS-98,STS-98,STS-98,309,3,19.82,19.82
741,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,1,6,commander,1994,16,Soyuz TM­19,Mir,Soyuz TM­19,3022,2,11.12,34.83
742,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,2,6,Flight engineer,2000,STS­106,STS­106,STS­106,STS­106,283,1,6.23,34.83
